satellite, Count: 887, Level 1
earth science > atmosphere > clouds > cloud dynamics, Count: 4, Level 4

earth science > spectral/engineering > radar > mean radial velocity, Count: 20, Level 4

earth science > spectral/engineering > platform characteristics > line of sight velocity, Count: 3, Level 4

earth science > atmosphere > atmospheric winds, Count: 3, Level 3

earth science > oceans > ocean winds > vertical wind motion, Count: 1, Level 4

earth science > atmosphere > clouds, Count: 4, Level 3

flux, Count: 38, Level 1

earth science > atmosphere > atmospheric electricity > lightning, Count: 5, Level 4

earth science > atmosphere > weather events > lightning, Count: 5, Level 4

boundary layer meteorology, Count: 6, Level 1

earth science > biosphere > vegetation > canopy characteristics, Count: 3, Level 4

earth science > land surface > soils > soil moisture/water content, Count: 11, Level 4

earth science > land surface > soils > soil ph, Count: 4, Level 4

earth science > land surface > geomorphic landforms/processes, Count: 3, Level 3

earth science > terrestrial hydrosphere > snow/ice > freeze/thaw, Count: 3, Level 4

earth science > terrestrial hydrosphere > surface water > surface water processes/measurements > discharge/flow, Count: 2, Level 5

earth science > atmosphere > atmospheric chemistry > carbon and hydrocarbon compounds > atmospheric carbon dioxide > carbon dioxide profiles, Count: 1, Level 6

earth science > atmosphere > atmospheric chemistry > carbon and hydrocarbon compounds > methane, Count: 5, Level 5

earth science > atmosphere > altitude > tropopause, Count: 3, Level 4

earth science > atmosphere > atmospheric winds > upper level winds > flight level winds, Count: 7, Level 5

accompanying archives, Count: 3, Level 1

earth science > cryosphere > snow/ice > snow/ice temperature, Count: 4, Level 4

earth science > terrestrial hydrosphere > snow/ice > snow/ice temperature, Count: 3, Level 4

earth science > cryosphere > snow/ice > snow depth, Count: 9, Level 4

earth science > terrestrial hydrosphere > snow/ice > snow depth, Count: 10, Level 4

optics, Count: 16, Level 1

gis, Count: 7, Level 1

paleoceanography, Count: 8, Level 1

earth science > atmosphere > precipitation > solid precipitation > snow > snow pellets, Count: 1, Level 6

earth science > atmosphere > precipitation > solid precipitation > ice pellets, Count: 3, Level 5

earth science > atmosphere > precipitation > solid precipitation > snow, Count: 6, Level 5

earth science > atmosphere > weather events > snow storms, Count: 3, Level 4

